Student ID,Course,Grade
96.0,Physical Education,A
97.0,Math,F
97.0,Science,F
97.0,History,C
97.0,English,B
97.0,Physical Education,D
98.0,Math,F
98.0,Science,F
98.0,History,C
98.0,English,A
98.0,Physical Education,D
99.0,Math,C
99.0,Science,A
99.0,History,C
99.0,English,F
99.0,Physical Education,F
100.0,Math,D
100.0,Science,C
100.0,History,B
100.0,English,A
100.0,Physical Education,C
101.0,Math,F
101.0,Science,C
101.0,History,B
101.0,English,C
101.0,Physical Education,F
102.0,Math,B
102.0,Science,F
102.0,History,B
102.0,English,C
102.0,Physical Education,F
103.0,Math,D
103.0,Science,C
103.0,History,F
103.0,English,D
103.0,Physical Education,D
104.0,Math,F
104.0,Science,F
104.0,History,A
104.0,English,A
104.0,Physical Education,D
105.0,Math,C
105.0,Science,B
105.0,History,F
105.0,English,C
105.0,Physical Education,C
106.0,Math,B
106.0,Science,D
106.0,History,F
106.0,English,B
106.0,Physical Education,B
107.0,Math,D
107.0,Science,D
107.0,History,D
107.0,English,D
107.0,Physical Education,F
108.0,Math,A
108.0,Science,D
108.0,History,D
108.0,English,B
108.0,Physical Education,D
109.0,Math,F
109.0,Science,A
109.0,History,F
109.0,English,C
109.0,Physical Education,B
110.0,Math,B
110.0,Science,D
110.0,History,A
110.0,English,F
110.0,Physical Education,C
111.0,Math,A
111.0,Science,F
111.0,History,C
111.0,English,F
111.0,Physical Education,A
112.0,Math,D
112.0,Science,F
112.0,History,D
112.0,English,D
112.0,Physical Education,C
113.0,Math,C
113.0,Science,A
113.0,History,D
113.0,English,F
113.0,Physical Education,C
114.0,Math,B
114.0,Science,D
114.0,History,A
114.0,English,A
114.0,Physical Education,C
115.0,Math,C
115.0,Science,A
115.0,History,C
115.0,English,A
115.0,Physical Education,A
116.0,Math,D
116.0,Science,B
116.0,History,C
116.0,English,A
116.0,Physical Education,C
117.0,Math,B
117.0,Science,F
117.0,History,C
117.0,English,A
117.0,Physical Education,C
118.0,Math,D
118.0,Science,B
118.0,History,F
118.0,English,A
118.0,Physical Education,C
119.0,Math,B
119.0,Science,C
119.0,History,C
119.0,English,B
119.0,Physical Education,B
120.0,Math,C
120.0,Science,D
120.0,History,C
120.0,English,F
120.0,Physical Education,B
121.0,Math,A
121.0,Science,D
121.0,History,D
121.0,English,B
121.0,Physical Education,C
122.0,Math,A
122.0,Science,D
122.0,History,F
122.0,English,F
122.0,Physical Education,F
123.0,Math,B
123.0,Science,F
123.0,History,F
123.0,English,C
123.0,Physical Education,C
124.0,Math,A
124.0,Science,B
124.0,History,F
124.0,English,A
124.0,Physical Education,B
125.0,Math,D
125.0,Science,A
125.0,History,F
125.0,English,C
125.0,Physical Education,C
126.0,Math,B
126.0,Science,D
126.0,History,A
126.0,English,B
126.0,Physical Education,A
127.0,Math,F
127.0,Science,F
127.0,History,F
127.0,English,D
127.0,Physical Education,F
128.0,Math,D
128.0,Science,F
128.0,History,A
128.0,English,B
128.0,Physical Education,C
129.0,Math,C
129.0,Science,B
129.0,History,A
129.0,English,D
129.0,Physical Education,F
130.0,Math,F
130.0,Science,B
130.0,History,C
130.0,English,C
130.0,Physical Education,F
131.0,Math,C
131.0,Science,A
131.0,History,F
131.0,English,B
131.0,Physical Education,D
132.0,Math,A
132.0,Science,F
132.0,History,C
132.0,English,D
132.0,Physical Education,D
133.0,Math,B
133.0,Science,F
133.0,History,C
133.0,English,C
133.0,Physical Education,C
134.0,Math,A
134.0,Science,F
134.0,History,A
134.0,English,F
134.0,Physical Education,C
135.0,Math,C
135.0,Science,B
135.0,History,D
135.0,English,C
135.0,Physical Education,A
136.0,Math,B
136.0,Science,B
136.0,History,F
136.0,English,C
136.0,Physical Education,A
137.0,Math,A
137.0,Science,D
137.0,History,F
137.0,English,C
137.0,Physical Education,C
138.0,Math,C
138.0,Science,D
138.0,History,A
138.0,English,F
138.0,Physical Education,D
139.0,Math,D
139.0,Science,C
139.0,History,D
139.0,English,F
139.0,Physical Education,B
140.0,Math,D
140.0,Science,A
140.0,History,F
140.0,English,B
140.0,Physical Education,F
141.0,Math,F
141.0,Science,C
141.0,History,C
141.0,English,F
141.0,Physical Education,D
142.0,Math,B
142.0,Science,C
142.0,History,C
142.0,English,A
142.0,Physical Education,B
143.0,Math,B
143.0,Science,B
143.0,History,D
143.0,English,B
143.0,Physical Education,C
144.0,Math,A
144.0,Science,A
144.0,History,D
144.0,English,B
144.0,Physical Education,B
145.0,Math,A
145.0,Science,A
145.0,History,C
145.0,English,A
145.0,Physical Education,C
146.0,Math,A
146.0,Science,F
146.0,History,A
146.0,English,B
146.0,Physical Education,A
147.0,Math,B
147.0,Science,D
147.0,History,A
147.0,English,C
147.0,Physical Education,B
148.0,Math,B
148.0,Science,D
148.0,History,F
148.0,English,B
148.0,Physical Education,F
149.0,Math,B
149.0,Science,D
149.0,History,A
149.0,English,C
149.0,Physical Education,B
150.0,Math,B
150.0,Science,C
150.0,History,C
150.0,English,D
150.0,Physical Education,A
151.0,Math,F
151.0,Science,A
151.0,History,C
151.0,English,F
151.0,Physical Education,A
152.0,Math,F
152.0,Science,F
152.0,History,A
152.0,English,D
152.0,Physical Education,F
153.0,Math,F
153.0,Science,B
153.0,History,F
153.0,English,B
153.0,Physical Education,B
154.0,Math,A
154.0,Science,C
154.0,History,A
154.0,English,A
154.0,,D
155.0,Math,D
155.0,Science,B
155.0,History,B
155.0,English,D
155.0,Physical Education,F
156.0,Math,B
156.0,Science,B
156.0,History,A
156.0,English,B
156.0,Physical Education,D
157.0,Math,B
157.0,Science,B
157.0,History,C
157.0,English,B
157.0,Physical Education,C
158.0,Math,A
158.0,Science,F
158.0,History,D
158.0,English,A
158.0,Physical Education,B
159.0,Math,C
159.0,Science,B
159.0,History,D
159.0,English,D
159.0,Physical Education,F
160.0,Math,D
160.0,Science,F
160.0,History,B
160.0,English,D
160.0,Physical Education,B
161.0,Math,A
161.0,Science,A
161.0,History,A
161.0,English,B
161.0,Physical Education,C
162.0,Math,B
162.0,Science,A
162.0,History,F
162.0,English,C
162.0,Physical Education,D
163.0,Math,F
163.0,Science,C
163.0,History,B
163.0,English,D
163.0,Physical Education,B
164.0,Math,C
164.0,Science,B
164.0,History,A
164.0,English,D
164.0,Physical Education,A
165.0,Math,F
165.0,Science,F
165.0,History,F
165.0,English,B
165.0,Physical Education,F
166.0,Math,B
166.0,Science,F
166.0,History,F
166.0,English,B
166.0,Physical Education,D
167.0,Math,D
167.0,Science,F
167.0,History,C
167.0,English,C
167.0,Physical Education,D
168.0,Math,B
168.0,Science,A
168.0,History,F
168.0,English,D
168.0,Physical Education,D
169.0,Math,B
169.0,Science,D
169.0,History,C
169.0,English,F
169.0,Physical Education,D
170.0,Math,D
170.0,Science,B
170.0,History,A
170.0,English,F
170.0,Physical Education,C
171.0,Math,F
171.0,Science,F
171.0,History,C
171.0,English,B
171.0,Physical Education,B
172.0,Math,C
172.0,Science,A
172.0,History,C
172.0,English,D
172.0,Physical Education,A
173.0,Math,F
173.0,Science,F
173.0,History,A
173.0,English,C
173.0,Physical Education,C
174.0,Math,F
174.0,Science,B
174.0,History,F
174.0,English,A
174.0,Physical Education,C
175.0,Math,D
175.0,Science,F
175.0,History,D
175.0,English,D
175.0,Physical Education,D
176.0,Math,F
176.0,Science,F
176.0,History,F
176.0,English,A
176.0,Physical Education,B
177.0,Math,A
177.0,Science,B
177.0,History,C
177.0,English,C
177.0,Physical Education,F
178.0,Math,C
178.0,Science,D
178.0,History,C
178.0,English,F
178.0,Physical Education,A
179.0,Math,A
179.0,Science,F
179.0,History,F
179.0,English,B
179.0,Physical Education,F
180.0,Math,B
180.0,Science,B
180.0,History,C
180.0,English,B
180.0,Physical Education,F
181.0,Math,A
181.0,Science,F
181.0,History,B
181.0,English,F
181.0,Physical Education,A
182.0,Math,B
182.0,Science,D
182.0,History,B
182.0,English,A
182.0,Physical Education,D
183.0,Math,F
183.0,Science,F
183.0,History,C
183.0,English,A
183.0,Physical Education,B
184.0,Math,C
184.0,Science,B
184.0,History,C
184.0,English,A
184.0,Physical Education,C
185.0,Math,F
185.0,Science,F
185.0,History,B
185.0,English,B
185.0,Physical Education,A
186.0,Math,B
186.0,Science,C
186.0,History,F
186.0,English,B
186.0,Physical Education,F
187.0,Math,D
187.0,Science,C
187.0,History,A
187.0,English,A
187.0,Physical Education,C
188.0,Math,B
188.0,Science,F
188.0,History,F
188.0,English,A
188.0,Physical Education,D
189.0,Math,F
189.0,Science,C
189.0,History,A
189.0,English,A
189.0,Physical Education,F
190.0,Math,A
190.0,Science,A
190.0,History,A
190.0,English,A
190.0,Physical Education,B
191.0,Math,F
191.0,Science,D
191.0,History,B
191.0,English,C
191.0,Physical Education,D
192.0,Math,D
192.0,Science,B
192.0,History,F
192.0,English,A
192.0,Physical Education,D
193.0,Math,F
193.0,Science,C
193.0,History,D
193.0,English,F
193.0,Physical Education,A
194.0,Math,D
194.0,Science,A
194.0,History,C
194.0,English,C
194.0,Physical Education,F
195.0,Math,F
195.0,Science,A
195.0,History,B
195.0,English,B
195.0,Physical Education,A
196.0,Math,B
196.0,Science,A
196.0,History,C
196.0,English,C
196.0,Physical Education,D
197.0,Math,C
197.0,Science,A
197.0,History,C
197.0,English,A
197.0,Physical Education,A
198.0,Math,C
198.0,Science,F
198.0,History,F
198.0,English,B
198.0,Physical Education,F
199.0,Math,A
199.0,Science,D
199.0,History,F
199.0,English,D
199.0,Physical Education,A
200.0,Math,C
200.0,Science,B
200.0,History,F
200.0,English,B
200.0,Physical Education,F
201.0,Math,D
201.0,Science,A
201.0,History,F
201.0,English,F
201.0,Physical Education,A
202.0,Math,D
202.0,Science,F
202.0,History,A
202.0,English,F
202.0,Physical Education,B
203.0,Math,C
203.0,Science,F
203.0,History,F
203.0,English,D
203.0,Physical Education,B
204.0,Math,D
204.0,Science,A
204.0,History,F
204.0,English,F
204.0,Physical Education,F
205.0,Math,A
205.0,Science,F
205.0,History,D
205.0,English,A
205.0,Physical Education,F
206.0,Math,A
206.0,Science,A
206.0,History,F
206.0,English,A
206.0,Physical Education,D
207.0,Math,D
207.0,Science,F
207.0,History,B
207.0,English,A
207.0,Physical Education,D
208.0,Math,A
208.0,Science,F
208.0,History,C
208.0,English,F
208.0,Physical Education,C
209.0,Math,A
209.0,Science,D
209.0,History,F
209.0,English,C
209.0,Physical Education,D
210.0,Math,A
210.0,Science,F
210.0,History,D
210.0,English,D
210.0,Physical Education,F
211.0,Math,A
211.0,Science,A
211.0,History,D
211.0,English,F
211.0,Physical Education,A
212.0,Math,B
212.0,Science,F
212.0,History,F
212.0,English,B
212.0,Physical Education,A
213.0,Math,C
213.0,Science,A
213.0,History,C
213.0,English,F
213.0,Physical Education,F
214.0,Math,D
214.0,Science,F
214.0,History,A
214.0,English,D
214.0,Physical Education,F
215.0,Math,F
215.0,Science,D
215.0,History,F
215.0,English,B
215.0,Physical Education,D
216.0,Math,F
216.0,Science,F
216.0,History,A
216.0,English,A
216.0,Physical Education,C
217.0,Math,C
217.0,Science,B
217.0,History,F
217.0,English,A
217.0,Physical Education,B
218.0,Math,B
218.0,Science,D
218.0,History,C
218.0,English,D
218.0,Physical Education,D
219.0,Math,F
219.0,Science,A
219.0,History,F
219.0,English,A
219.0,Physical Education,B
220.0,Math,A
220.0,Science,F
220.0,History,D
220.0,English,F
220.0,Physical Education,F
221.0,Math,A
221.0,Science,B
221.0,History,A
221.0,English,B
221.0,Physical Education,B
222.0,Math,A
222.0,Science,C
222.0,History,A
222.0,English,F
222.0,Physical Education,C
223.0,Math,F
223.0,Science,A
223.0,History,A
223.0,English,D
223.0,Physical Education,D
224.0,Math,D
224.0,Science,D
224.0,History,D
224.0,English,B
224.0,Physical Education,A
225.0,Math,C
225.0,Science,B
225.0,History,D
225.0,English,A
225.0,Physical Education,A
226.0,Math,B
226.0,Science,F
226.0,History,D
226.0,English,D
226.0,Physical Education,B
227.0,Math,C
227.0,Science,C
227.0,History,A
227.0,English,B
227.0,Physical Education,D
228.0,Math,A
228.0,Science,C
228.0,History,A
228.0,English,C
228.0,Physical Education,C
229.0,Math,B
229.0,Science,A
229.0,History,F
229.0,English,F
229.0,Physical Education,D
230.0,Math,A
230.0,Science,C
230.0,History,F
230.0,English,C
230.0,Physical Education,C
231.0,Math,C
231.0,Science,C
231.0,History,F
231.0,English,C
231.0,Physical Education,F
232.0,Math,C
232.0,Science,B
232.0,History,D
232.0,English,F
232.0,Physical Education,B
233.0,Math,A
233.0,Science,C
233.0,History,D
233.0,English,F
233.0,Physical Education,F
234.0,Math,C
234.0,Science,B
234.0,History,C
234.0,English,D
234.0,Physical Education,F
235.0,Math,F
235.0,Science,A
235.0,History,B
235.0,English,C
235.0,Physical Education,B
236.0,Math,D
236.0,Science,C
236.0,History,A
236.0,English,F
236.0,Physical Education,B
237.0,Math,B
237.0,Science,D
237.0,History,A
237.0,English,C
237.0,Physical Education,D
238.0,Math,C
238.0,Science,A
238.0,History,C
238.0,English,C
238.0,Physical Education,D
239.0,Math,D
239.0,Science,C
239.0,History,D
239.0,English,A
239.0,Physical Education,A
240.0,Math,C
240.0,Science,C
240.0,History,D
240.0,English,B
240.0,Physical Education,A
241.0,Math,C
241.0,Science,F
241.0,History,A
241.0,English,F
241.0,Physical Education,F
242.0,Math,D
242.0,Science,D
242.0,History,D
242.0,English,F
242.0,Physical Education,D
243.0,Math,F
243.0,Science,C
243.0,History,B
243.0,English,F
243.0,Physical Education,B
244.0,Math,D
244.0,Science,F
244.0,History,A
244.0,English,C
244.0,Physical Education,D
245.0,Math,D
245.0,Science,B
245.0,History,D
245.0,English,A
245.0,Physical Education,B
246.0,Math,C
246.0,Science,F
246.0,History,D
246.0,English,F
246.0,Physical Education,C
247.0,Math,B
247.0,Science,C
247.0,History,A
247.0,English,B
247.0,Physical Education,F
248.0,Math,B
248.0,Science,C
248.0,History,D
248.0,English,F
248.0,Physical Education,A
249.0,Math,B
249.0,Science,F
249.0,History,B
249.0,English,C
249.0,Physical Education,A
250.0,Math,B
250.0,Science,D
250.0,History,C
250.0,English,A
250.0,Physical Education,A
251.0,Math,D
251.0,Science,A
251.0,History,B
251.0,English,C
251.0,Physical Education,A
252.0,Math,B
252.0,Science,B
252.0,History,D
252.0,English,A
252.0,Physical Education,D
253.0,Math,A
253.0,Science,C
253.0,History,F
253.0,English,C
253.0,Physical Education,B
254.0,Math,C
254.0,Science,B
,History,F
254.0,English,A
254.0,Physical Education,D
255.0,Math,C
255.0,Science,A
255.0,History,B
255.0,English,F
255.0,Physical Education,D
256.0,Math,D
256.0,Science,C
256.0,History,C
256.0,English,F
256.0,Physical Education,B
257.0,Math,B
257.0,Science,F
257.0,History,A
257.0,English,A
257.0,Physical Education,D
258.0,Math,C
258.0,Science,D
258.0,History,B
258.0,English,D
258.0,Physical Education,C
259.0,Math,B
259.0,Science,B
259.0,History,D
259.0,English,D
259.0,Physical Education,A
260.0,Math,C
260.0,Science,D
260.0,History,B
260.0,English,A
260.0,Physical Education,D
261.0,Math,F
261.0,Science,F
261.0,History,F
261.0,English,A
261.0,Physical Education,A
262.0,Math,F
262.0,Science,C
262.0,History,B
262.0,English,A
262.0,Physical Education,A
263.0,Math,B
263.0,Science,A
263.0,History,C
263.0,English,A
263.0,Physical Education,C
264.0,Math,F
264.0,Science,B
264.0,History,B
264.0,English,D
264.0,Physical Education,C
265.0,Math,A
265.0,Science,D
265.0,History,A
265.0,English,F
265.0,Physical Education,D
266.0,Math,F
266.0,Science,F
266.0,History,F
266.0,English,D
266.0,Physical Education,C
267.0,Math,C
267.0,Science,C
267.0,History,C
267.0,English,B
267.0,Physical Education,A
268.0,Math,B
268.0,Science,A
268.0,History,C
268.0,English,D
268.0,Physical Education,D
269.0,Math,B
269.0,Science,C
269.0,History,F
269.0,English,B
269.0,Physical Education,B
270.0,Math,C
270.0,Science,C
270.0,History,D
270.0,English,F
270.0,Physical Education,D
271.0,Math,D
271.0,Science,D
271.0,History,C
271.0,English,C
271.0,Physical Education,D
272.0,Math,B
272.0,Science,B
272.0,History,B
272.0,English,C
272.0,Physical Education,C
273.0,Math,F
273.0,Science,D
273.0,History,D
273.0,English,D
273.0,Physical Education,F
274.0,Math,A
274.0,Science,C
274.0,History,F
274.0,English,B
274.0,Physical Education,B
275.0,Math,F
275.0,Science,A
275.0,History,B
275.0,English,A
275.0,Physical Education,A
276.0,Math,C
276.0,Science,B
276.0,History,C
276.0,English,A
276.0,Physical Education,F
277.0,Math,C
277.0,Science,F
277.0,History,A
277.0,English,A
277.0,Physical Education,B
278.0,Math,C
278.0,Science,D
278.0,History,F
278.0,English,B
278.0,Physical Education,F
279.0,Math,D
279.0,Science,A
279.0,History,D
279.0,English,B
279.0,Physical Education,A
280.0,Math,D
280.0,Science,D
280.0,History,F
280.0,English,F
280.0,Physical Education,F
281.0,Math,C
281.0,Science,F
281.0,History,C
281.0,English,B
281.0,Physical Education,A
282.0,Math,D
282.0,Science,F
282.0,History,F
282.0,English,D
282.0,Physical Education,F
283.0,Math,B
283.0,Science,C
283.0,History,B
283.0,English,D
283.0,Physical Education,B
284.0,Math,D
284.0,Science,C
284.0,History,D
284.0,English,A
284.0,Physical Education,D
285.0,Math,D
285.0,Science,D
285.0,History,D
285.0,English,C
285.0,Physical Education,B
286.0,Math,C
286.0,Science,F
286.0,History,D
286.0,English,A
286.0,Physical Education,B
287.0,Math,F
287.0,Science,F
287.0,History,A
287.0,English,F
287.0,Physical Education,F
288.0,Math,C
288.0,Science,F
288.0,History,C
288.0,English,B
288.0,Physical Education,C
289.0,Math,B
289.0,Science,F
289.0,History,A
289.0,English,B
289.0,Physical Education,C
290.0,Math,A
290.0,Science,F
290.0,History,B
290.0,English,A
290.0,Physical Education,A
291.0,Math,F
291.0,Science,A
291.0,History,A
291.0,English,F
291.0,Physical Education,D
292.0,Math,A
292.0,Science,A
292.0,History,F
292.0,English,F
292.0,Physical Education,C
293.0,Math,D
293.0,Science,A
293.0,History,B
293.0,English,D
293.0,Physical Education,A
294.0,Math,F
294.0,Science,C
294.0,History,A
294.0,English,C
294.0,Physical Education,A
295.0,Math,C
295.0,Science,F
295.0,History,D
295.0,English,F
295.0,Physical Education,B
296.0,Math,C
296.0,Science,F
296.0,History,A
296.0,English,B
296.0,Physical Education,C
297.0,Math,F
297.0,Science,C
297.0,History,F
297.0,English,F
297.0,Physical Education,B
298.0,Math,D
298.0,Science,D
298.0,History,B
298.0,English,D
298.0,Physical Education,F
299.0,Math,F
299.0,Science,F
299.0,History,A
299.0,English,F
299.0,Physical Education,C
300.0,Math,C
300.0,Science,D
300.0,History,C
300.0,English,D
300.0,Physical Education,B
301.0,Math,F
301.0,Science,D
301.0,History,D
301.0,English,D
301.0,Physical Education,B
302.0,Math,D
302.0,Science,F
302.0,History,C
302.0,English,F
302.0,Physical Education,D
303.0,Math,B
303.0,Science,C
303.0,History,D
303.0,English,C
303.0,Physical Education,A
304.0,Math,B
304.0,Science,F
304.0,History,C
304.0,English,A
304.0,Physical Education,D
